model,MAE,RMSE,MASE,Bias
gradient_boosting,1.9022786427291836,2.544266710270878,1.4213723699033574,1.116044794561083
seasonal_naive,2.3185205853174606,3.0067608119599956,1.732386110530263,1.7317507058913308
