model,MAE,RMSE,MASE,Bias
seasonal_naive,2.3185205853174606,3.0067608119599956,1.732386110530263,1.7317507058913308
SARIMAX + temperature,2.8298067576842536,3.5729829553990307,2.1144163884253953,2.5304836874400154
"SARIMA(0,1,1)(0,1,1,52)",3.2956130250939446,4.018359088407759,2.462464325963117,3.0895727085905063
