,importance
lag_52,0.6803762153286371
lag_1,0.15319855696828447
temp_max,0.03769588389882939
temp_min,0.02432981406232282
week_cos,0.016285120568841342
lag_3,0.014421326580024183
lag_4,0.013698767575548977
roll_std_4,0.011991211101069977
lag_2,0.01000666722039444
heating_degree,0.008712079235755243
