model,MAE,RMSE,MASE,Bias
seasonal_naive,2.3185205853174606,3.0067608119599956,1.732386110530263,1.7317507058913308
"SARIMA(0,1,6)(0,1,1,52)",3.0716095976464977,3.766239408506353,2.295090169840196,2.8269315433580693
"SARIMA(0,1,1)(0,1,1,52)",3.2956130250939446,4.018359088407759,2.462464325963117,3.0895727085905063
