date,actual,seasonal_naive,sarima_plain,sarimax_temp,sarimax_ci_lower,sarimax_ci_upper
2018-10-14 00:00:00+00:00,55.84894047619047,56.33339880952381,58.00873493816948,56.92462313775085,54.56657669814836,59.28266957735334
2018-10-21 00:00:00+00:00,55.762125,56.55730952380953,58.0764542569907,57.43710181323546,55.079055372509416,59.7951482539615
2018-10-28 00:00:00+00:00,58.684714285714286,57.687714285714286,58.363916999084495,58.24716927346013,55.88912283270517,60.60521571421509
2018-11-04 00:00:00+00:00,55.917589285714286,53.707708333333336,57.03172724655817,56.455565705741975,54.09751926497593,58.81361214650802
2018-11-11 00:00:00+00:00,58.163470238095236,59.21035714285715,60.86762220514113,59.68121867982826,57.3231722390333,62.03926512062323
2018-11-18 00:00:00+00:00,59.696083333333334,59.97938095238096,61.5345139234319,61.21934266281911,58.86129622201306,63.57738910362516
2018-11-25 00:00:00+00:00,61.55336309523809,60.69883333333333,61.92873714823308,62.1779160157672,59.819869574932234,64.53596245660216
2018-12-02 00:00:00+00:00,62.379154761904765,61.95860119047619,62.75848845902666,62.92270299826363,60.56465655741758,65.28074943910968
2018-12-09 00:00:00+00:00,62.32269047619047,63.12195833333334,63.155295663683475,62.384170457290956,60.026124016415984,64.74221689816592
2018-12-16 00:00:00+00:00,63.2435,62.71340476190476,61.95394944009932,62.28866676341907,59.93062032253302,64.64671320430513
2018-12-23 00:00:00+00:00,59.40855952380953,57.949869047619046,56.02130909527059,56.245897099459846,53.88785066703393,58.60394353188576
2018-12-30 00:00:00+00:00,49.075583333333334,48.223803571428576,49.75010069891377,48.941779260552266,46.583732860691484,51.29982566041305
2019-01-06 00:00:00+00:00,53.805875,54.85843452380953,58.71103614035865,57.79861882940915,55.49289871154661,60.10433894727169
2019-01-13 00:00:00+00:00,62.37220238095238,60.05204761904762,62.09490292554509,61.20949610826062,58.90377599355324,63.51521622296801
2019-01-20 00:00:00+00:00,62.423494047619045,61.868267857142854,63.25917953011228,62.122772778207455,59.81705266347641,64.4284928929385
2019-01-27 00:00:00+00:00,63.58701190476191,60.128232142857144,62.40177621572864,63.365652622229646,61.05993250748344,65.67137273697585
2019-02-03 00:00:00+00:00,62.088767857142855,60.81609523809524,62.25050685332238,62.32076151986091,60.01504140509104,64.62648163463078
2019-02-10 00:00:00+00:00,62.35953571428572,61.24415476190477,62.18649238519986,60.92833837178659,58.622618257001555,63.23405848657162
2019-02-17 00:00:00+00:00,60.79900595238095,60.73777380952381,61.92574487415557,60.776671103207335,58.47095098839864,63.08239121801603
2019-02-24 00:00:00+00:00,59.46751785714285,60.69296428571428,61.716545941683684,60.82870618820804,58.52298607338418,63.134426303031894
2019-03-03 00:00:00+00:00,58.48182142857143,63.44200595238095,62.11048367470616,60.654999812367876,58.34927969752036,62.96071992721539
2019-03-10 00:00:00+00:00,58.99095238095238,59.17857142857143,60.490140353702984,59.23378454878852,56.92806443392584,61.5395046636512
2019-03-17 00:00:00+00:00,60.07891071428572,60.88598809523809,60.068371608426254,59.32064804525507,57.01492793036873,61.62636816014141
2019-03-24 00:00:00+00:00,57.649363095238094,60.75360714285714,59.13623684849525,58.27932613541575,55.97360602051425,60.585046250317255
2019-03-31 00:00:00+00:00,56.77151190476191,55.40161904761904,56.41300965687685,55.896084389882134,53.590364274956976,58.20180450480729
2019-04-07 00:00:00+00:00,56.43385714285714,54.534148809523806,56.15042215952592,55.46258664578739,53.15686653084706,57.76830676072772
2019-04-14 00:00:00+00:00,56.765970238095235,56.09988095238096,55.96835406922287,56.851654994051366,54.54593487908738,59.15737510901535
2019-04-21 00:00:00+00:00,51.656261904761905,54.43427380952381,55.67698539353498,54.89676467262571,52.591044557646555,57.20248478760486
2019-04-28 00:00:00+00:00,52.33675,55.34271428571428,56.38279704632479,55.21869100400137,52.912970888998565,57.52441111900418
2019-05-05 00:00:00+00:00,53.123172619047615,52.81313690476191,54.72161401693513,55.07638065174722,52.77066053672925,57.38210076676519
2019-05-12 00:00:00+00:00,56.02357738095238,52.85682142857143,54.86971750020726,54.808693252598154,52.50297313755652,57.114413367639784
2019-05-19 00:00:00+00:00,55.28559523809524,55.369166666666665,55.49815335412101,55.74486794310729,53.439147828050494,58.05058805816408
2019-05-26 00:00:00+00:00,54.94535119047619,53.64008928571428,53.810336759564436,53.09805335248248,50.792333237402026,55.403773467562935
2019-06-02 00:00:00+00:00,51.30880357142857,53.98164880952381,55.15728928547275,54.30648409835151,52.000763983255894,56.61220421344713
2019-06-09 00:00:00+00:00,54.52816071428572,56.448547619047616,55.81223134782509,56.37018906560489,54.06446895048561,58.67590918072417
2019-06-16 00:00:00+00:00,52.28670833333334,55.91553571428572,55.769140745482616,56.76599332424421,54.460273209109765,59.07171343937865
2019-06-23 00:00:00+00:00,52.54121428571428,56.29283928571428,56.73418465259409,57.17686788674618,54.87114777158808,59.48258800190428
2019-06-30 00:00:00+00:00,55.955285714285715,55.683684523809525,56.675244677688276,57.44280013403194,55.137080018858676,59.74852024920521
2019-07-07 00:00:00+00:00,55.179630952380954,55.95719642857143,56.763831136557585,56.1378471196745,53.83212700447757,58.44356723487142
2019-07-14 00:00:00+00:00,53.908166666666666,53.87878571428572,55.94766648705873,55.28643772196605,52.98071760675396,57.59215783717814
2019-07-21 00:00:00+00:00,53.511964285714285,53.46576785714286,55.76595123087364,55.10450314289441,52.79878302765866,57.41022325813016
2019-07-28 00:00:00+00:00,54.20710119047619,55.10847619047619,55.43212486595435,55.901793722655064,53.59607360740415,58.20751383790598
2019-08-04 00:00:00+00:00,52.39210119047619,54.96707738095238,55.16750531211566,54.56944442164507,52.2637243063705,56.87516453691965
2019-08-11 00:00:00+00:00,52.01905357142857,54.29031547619047,54.81216634163978,54.62465418388954,52.3189340685998,56.93037429917928
2019-08-18 00:00:00+00:00,51.15523809523809,53.30570238095238,54.36187269168591,53.72834362359575,51.42262350828235,56.03406373890915
2019-08-25 00:00:00+00:00,51.83813095238095,54.650571428571425,55.717902679670544,55.61152360464455,53.30580348931599,57.917243719973115
2019-09-01 00:00:00+00:00,54.091970238095236,54.58705357142857,55.72794514129238,56.751707214609766,54.44598709925755,59.05742732996198
2019-09-08 00:00:00+00:00,52.44316071428572,54.906511904761906,55.88085994349823,55.15496478170406,52.84924466633668,57.46068489707144
2019-09-15 00:00:00+00:00,53.34848809523809,55.12004761904762,56.43497070403103,55.55537532449333,53.24965520910229,57.86109543988437
2019-09-22 00:00:00+00:00,53.22254761904762,56.60389285714285,56.184996258673266,55.81322436301641,53.50750424761021,58.11894447842261
