date,actual,seasonal_naive,lstm_1step
2020-04-19 00:00:00+00:00,47.415695,54.434273809523816,47.708786
2020-04-26 00:00:00+00:00,50.172417,55.34271428571428,50.39644
2020-05-03 00:00:00+00:00,48.161907,52.813136904761905,48.243706
2020-05-10 00:00:00+00:00,49.59078,52.85682142857143,49.742867
2020-05-17 00:00:00+00:00,50.92698,55.36916666666667,51.164936
2020-05-24 00:00:00+00:00,47.439644,53.64008928571428,47.540226
2020-05-31 00:00:00+00:00,49.527607,53.981648809523804,49.58507
2020-06-07 00:00:00+00:00,48.776245,56.448547619047616,48.733494
2020-06-14 00:00:00+00:00,48.219746,55.91553571428571,48.275932
2020-06-21 00:00:00+00:00,49.813946,56.29283928571429,49.734394
2020-06-28 00:00:00+00:00,50.480793,55.683684523809525,50.493633
2020-07-05 00:00:00+00:00,51.458874,55.95719642857142,51.441887
2020-07-12 00:00:00+00:00,51.252575,53.87878571428572,51.247185
2020-07-19 00:00:00+00:00,50.896183,53.46576785714286,50.899437
2020-07-26 00:00:00+00:00,50.47574,55.10847619047619,50.508343
2020-08-02 00:00:00+00:00,50.049393,54.967077380952375,50.131237
2020-08-09 00:00:00+00:00,49.45092,54.29031547619047,49.509945
2020-08-16 00:00:00+00:00,52.076736,53.30570238095238,52.19772
2020-08-23 00:00:00+00:00,51.87206,54.65057142857143,51.974506
2020-08-30 00:00:00+00:00,51.653374,54.58705357142857,51.715046
2020-09-06 00:00:00+00:00,51.617744,54.906511904761906,51.659733
2020-09-13 00:00:00+00:00,51.507633,55.12004761904762,51.543842
2020-09-20 00:00:00+00:00,52.181328,56.60389285714285,52.242744
2020-09-27 00:00:00+00:00,53.411934,56.12404166666666,53.397774
2020-10-04 00:00:00+00:00,57.41032,54.287059523809525,57.470757
