date,actual,seasonal_naive,gradient_boosting
2018-10-14 00:00:00+00:00,55.84894047619047,56.33339880952381,55.81317337714883
2018-10-21 00:00:00+00:00,55.762125,56.55730952380953,56.99308135908305
2018-10-28 00:00:00+00:00,58.684714285714286,57.687714285714286,57.986226830675164
2018-11-04 00:00:00+00:00,55.917589285714286,53.707708333333336,55.109668794080655
2018-11-11 00:00:00+00:00,58.163470238095236,59.21035714285715,58.24134746736607
2018-11-18 00:00:00+00:00,59.696083333333334,59.97938095238096,58.53656646846044
2018-11-25 00:00:00+00:00,61.55336309523809,60.69883333333333,61.15066935923865
2018-12-02 00:00:00+00:00,62.379154761904765,61.95860119047619,62.19923469195064
2018-12-09 00:00:00+00:00,62.32269047619047,63.12195833333334,60.45896702293007
2018-12-16 00:00:00+00:00,63.2435,62.71340476190476,62.41106839202481
2018-12-23 00:00:00+00:00,59.40855952380953,57.949869047619046,60.79096263177095
2018-12-30 00:00:00+00:00,49.075583333333334,48.223803571428576,53.63708991824536
2019-01-06 00:00:00+00:00,53.805875,54.85843452380953,53.69309391982554
2019-01-13 00:00:00+00:00,62.37220238095238,60.05204761904762,58.84199370491673
2019-01-20 00:00:00+00:00,62.423494047619045,61.868267857142854,62.42155367275216
2019-01-27 00:00:00+00:00,63.58701190476191,60.128232142857144,62.21541169349134
2019-02-03 00:00:00+00:00,62.088767857142855,60.81609523809524,61.55301626309588
2019-02-10 00:00:00+00:00,62.35953571428572,61.24415476190477,59.59439031944271
2019-02-17 00:00:00+00:00,60.79900595238095,60.73777380952381,59.85958273467223
2019-02-24 00:00:00+00:00,59.46751785714285,60.69296428571428,59.24678837066636
2019-03-03 00:00:00+00:00,58.48182142857143,63.44200595238095,58.468383895546836
2019-03-10 00:00:00+00:00,58.99095238095238,59.17857142857143,58.39381437638507
2019-03-17 00:00:00+00:00,60.07891071428572,60.88598809523809,59.193720927112764
2019-03-24 00:00:00+00:00,57.649363095238094,60.75360714285714,59.491109478319515
2019-03-31 00:00:00+00:00,56.77151190476191,55.40161904761904,55.206088445182445
